2021-05-21 22:32:42,670 - DEBUG -  messenger.client - Log: make_msg_message(('test1', "'hello'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621625562.670597, 'to': '#', 'group': "'ded'", 'from': 'test1', 'encoding': 'utf-8', 'message': "'hello'"} 
2021-05-21 22:32:42,769 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:32:42,769 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55726), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:32:42,971 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55725), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:36:53,632 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:36:53,637 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:36:53,642 - DEBUG -  messenger.client - Log: make_presence_message(('test2', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625813.6420121, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}} 
2021-05-21 22:36:53,644 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625813.644021, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:36:53,646 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55737), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625813.6420121, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:36:53,646 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:36:53,646 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:36:53,647 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:36:53,647 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:36:53,659 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test3') 
